iter	Passed	Remaining
779	241281	68053
780	241521	67724
781	241819	67412
782	242031	67076
783	242316	66760
784	242576	66438
785	242896	66132
786	243142	65806
787	243393	65481
788	243609	65147
789	243839	64818
790	244142	64508
791	244444	64197
792	244727	63882
793	245027	63571
794	245315	63257
795	245580	62937
796	245936	62641
797	246195	62320
798	246434	61994
799	246683	61670
800	246945	61351
801	247224	61035
802	247480	60714
803	247764	60400
804	247957	60064
805	248239	59749
806	248478	59425
807	248779	59116
808	249027	58809	809	249324	58810	810	249552	58811	811	249868	57812	812	250122	57813	813	250390	57814	814	250629	56815	815	250952	56816	816	251222	56817	817	251478	55818	818	251729	55819	819	252007	55820	820	252278	55821	821	252528	54822	822	252789	54823	823	253065	54824	824	253340	53825	825	253584	53826	826	253887	53827	827	254160	52828	828	254438	52829	829	254728	52830	830	255044	51831	831	255320	51832	832	255617	51833	833	255886	50834	834	256181	50835	835	256411	50836	836	256724	49837	837	256956	49838	838	257273	49839	839	257549	49840	840	257869	48841	841	258111	48842	258364	48117
843	843	258712	47844	844	258997	47845	845	259316	47846	846	259570	46847	847	259935	46848	848	260204	46849	849	260489	45850	850	260773	45851	851	261027	45852	852	261290	45853	853	261576	44854	854	261903	44855	855	262176	44104
856	262443	43791
857	262710	43478
858	262938	43859	859	263269	42857
860	263580	42552
861	263908	42249
862	264217	41944
863	264456	41627
864	264661	41305
865	264811	40975
866	264989	40650
867	265177	40326
868	265355	40001
869	265548	39679
870	265853	39374
871	266070	39056
872	266271	38735
873	266422	38408
874	266606	38086
875	266897	37780
876	267042	37452
877	267229	37132
878	267423	36812
879	267608	36492
880	267809	36174
881	268047	35861
882	268248	35543
883	268428	35223
884	268603	34903
885	268787	34584
886	268969	34265
887	269142	33945
888	269353	33631
889	269523	33311
890	269700	32993
891	269922	32681
892	270127	32366
893	270319	32051
894	270556	31741
895	270789	31430
896	270955	31113
897	271089	30791
898	271291	30478
899	271515	30168
900	271716	29855
901	271908	29542
902	272066	29225
903	272262	28912
904	272434	28598
905	272655	28288
906	272863	27978
907	273043	27665
908	273254	27355
909	273411	27040
910	273569	26726
911	273765	26415
912	273942	26104
913	274125	25793
914	274340	25485
915	274490	25171
916	274684	24862
917	274860	24551
918	275007	24238
919	275201	23930
920	275382	23621
921	275567	23312
922	275763	23005
923	275945	22696
924	276151	22390
925	276331	22082
926	276491	21773
927	276715	21469
928	276886	21161
929	277081	20855
930	277269	20549
931	277464	20244
932	277648	19938
933	277821	19631
934	278080	19331
935	278273	19027
936	278499	18725
937	278657	18418
938	278860	18115
939	279070	17813
940	279250	17508
941	279459	17206
942	279638	16902
943	279841	16600
944	280093	16301
945	280307	16000
946	280477	15697
947	280698	15396
948	280910	15096
949	281111	14795
950	281294	14493
951	281461	14191
952	281651	13890
953	281829	13589
954	282011	13288
955	282228	12989
956	282429	12690
957	282636	12391
958	282816	12091
959	282961	11790
960	283175	11492
961	283389	11194
962	283559	10894
963	283740	10596
964	283927	10297
965	284147	10001
966	284332	9703
967	284486	9404
968	284652	9106
969	284846	8809
970	285055	8513
971	285231	8216
972	285444	7920
973	285622	7624
974	285845	7329
975	286037	7033
976	286199	6737
977	286400	6442
978	286648	6148
979	286873	5854
980	287115	5560
981	287296	5266
982	287505	4972
983	287726	4678
984	287900	4384
985	288066	4090
986	288240	3796
987	288399	3502
988	288586	3209
989	288733	2916
990	288878	2623
991	288974	2330
992	289098	2037
993	289207	1745
994	289311	1453
995	289411	1162
996	289508	871
997	289625	580
998	289750	290
999	289845	0
